Vout_set [V],Vout_meas [V],Iout_meas [A],Vin_meas [V],Iin_meas [A],Pin_calc [W],Pout_calc [W],Eff_calc
10,10.988,0.023,25,0.01,0.25,0.252724,101%
10,10.98,0.063,25,0.029,0.725,0.69174,95%
10,10.973,0.113,25,0.053,1.325,1.239949,94%
10,10.961,0.213,25,0.101,2.525,2.334693,92%
10,10.928,0.514,25,0.247,6.175,5.616992,91%
10,10.92,0.613,25,0.296,7.4,6.69396,90%
10,10.909,0.713,25,0.345,8.625,7.778117,90%
10,10.898,0.813,25,0.394,9.85,8.860074,90%
10,10.888,0.914,25,0.445,11.125,9.951632,89%
10,7.907,1.013,25,0.375,9.375,8.009791,85%
10,6.375,1.113,25,0.339,8.475,7.095375,84%
10,5.143,1.213,25,0.31,7.75,6.238459,80%
10,4.137,1.313,25,0.282,7.05,5.431881,77%
10,3.3,1.413,25,0.25,6.25,4.6629,75%
