Vout_set [V],Vout_meas [V],Iout_meas [A],Vin_meas [V],Iin_meas [A],Pin_calc [W],Pout_calc [W],Eff_calc
10,10.981,0.063,5,0.2,1,0.691803,69%
10,10.974,0.113,5,0.354,1.77,1.240062,70%
10,10.96,0.213,5,0.704,3.52,2.33448,66%
10,10.946,0.313,5,0.931,4.655,3.426098,74%
10,10.104,0.413,5,1.09,5.45,4.172952,77%
10,8.581,0.514,5,1.168,5.84,4.410634,76%
10,7.49,0.613,5,1.24,6.2,4.59137,74%
10,6.646,0.713,5,1.305,6.525,4.738598,73%
10,5.945,0.812,5,1.365,6.825,4.82734,71%
10,5.372,0.914,5,1.423,7.115,4.910008,69%
10,4.87,1.013,5,1.477,7.385,4.93331,67%
