Vout_set [V],Vout_meas [V],Iout_meas [A],Vin_meas [V],Iin_meas [A],Pin_calc [W],Pout_calc [W],Eff_calc
33.3,33.277,0.014,5,0.072,0.36,0.465878,129%
33.3,33.28,0.015,5,0.092,0.46,0.4992,109%
33.3,33.274,0.017,5,0.117,0.585,0.565658,97%
33.3,33.173,0.064,5,0.505,2.525,2.123072,84%
33.3,27.702,0.113,5,0.805,4.025,3.130326,78%
33.3,17.611,0.213,5,0.935,4.675,3.751143,80%
33.3,9.4,0.513,5,1.227,6.135,4.8222,79%
33.3,5.88,1.013,4.999,1.537,7.683463,5.95644,78%
33.3,5.512,1.113,4.999,1.588,7.938412,6.134856,77%
33.3,5.211,1.213,4.999,1.655,8.273345,6.320943,76%
