test,Vset [V],Vcharged [V],Vin [V],Iin [A],Vout [V],Iout [A],Vin – Vout [V],“Burned” power [W]
10mA test,5.000,18.727,7.028,0.014,5.017,0.013,2.011,0.026
10mA test,5.000,15.729,6.028,0.013,5.018,0.013,1.010,0.013
10mA test,5.000,12.705,5.027,0.013,5.019,0.013,0.008,0.000
100mA test,5.000,18.630,7.028,0.104,5.013,0.102,2.015,0.206
100mA test,5.000,15.617,6.028,0.104,5.013,0.102,1.015,0.104
100mA test,5.000,12.699,5.027,0.102,4.995,0.102,0.032,0.003
1A test,5.000,19.230,7.027,1.018,4.952,1.012,2.075,2.100
1A test,5.000,15.530,6.027,1.016,4.957,1.013,1.070,1.084
1A test,5.000,12.477,5.027,1.013,4.627,1.013,0.400,0.405
2A test,5.000,18.588,7.027,2.010,4.890,2.012,2.137,4.300
2A test,5.000,15.178,6.028,2.014,4.890,2.012,1.138,2.290
2A test,5.000,12.235,5.027,2.013,4.212,2.012,0.815,1.640
min Vdiff,5.000,13.887,5.500,1.014,4.954,1.013,0.546,0.553
min Vdiff,5.000,13.591,5.400,1.014,4.954,1.013,0.446,0.452
min Vdiff,5.000,13.304,5.300,1.014,4.892,1.013,0.408,0.413
